joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Junior Adamu,AUT,AT,Freiburg,23.0,2001,19.0,13.0,1088.0,12.1,2.0,1.0,3.0,2.0,0.0,0.0,4.0,1.0,4.2,4.2,1.4,5.7,6.0,8.0,58.0,0.17,0.08,0.25,0.17,0.25,0.35,0.12,0.47,0.35,0.47
Karim Adeyemi,GER,"AT,MT",Dortmund,23.0,2002,18.0,13.0,1092.0,12.1,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,3.7,3.7,4.7,8.4,53.0,25.0,118.0,0.25,0.33,0.58,0.25,0.58,0.3,0.39,0.69,0.3,0.69
Amine Adli,MAR,"MT,AT",Leverkusen,24.0,2000,13.0,4.0,457.0,5.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.1,2.1,0.3,2.4,24.0,16.0,75.0,0.39,0.0,0.39,0.39,0.39,0.42,0.05,0.47,0.42,0.47
Oladapo Afolayan,ENG,"AT,MT",St. Pauli,27.0,1998,26.0,14.0,1413.0,15.7,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,2.8,2.8,3.4,6.3,48.0,26.0,92.0,0.13,0.06,0.19,0.13,0.19,0.18,0.22,0.4,0.18,0.4
Felix Agu,GER,DF,Werder Bremen,25.0,1999,15.0,14.0,1170.0,13.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.3,2.2,23.0,22.0,80.0,0.23,0.0,0.23,0.23,0.23,0.07,0.1,0.17,0.07,0.17
Erik Ahlstrand,SWE,"AT,MT",St. Pauli,23.0,2001,5.0,0.0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Akpoguma,NGA,DF,Hoffenheim,29.0,1995,25.0,18.0,1785.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.3,0.4,12.0,84.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Andreas Albers,DEN,AT,St. Pauli,35.0,1990,14.0,0.0,62.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,1.0,3.0,6.0,1.45,0.0,1.45,1.45,1.45,0.9,0.14,1.04,0.9,1.04
Skelly Alvero,FRA,MT,Werder Bremen,22.0,2002,12.0,1.0,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Aurele Amenda,SUI,DF,Eint Frankfurt,21.0,2003,6.0,1.0,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29
Nadiem Amiri,GER,MT,Mainz 05,28.0,1996,24.0,24.0,1936.0,21.5,6.0,4.0,10.0,4.0,2.0,2.0,6.0,2.0,4.1,2.6,5.4,7.9,39.0,156.0,52.0,0.28,0.19,0.46,0.19,0.37,0.19,0.25,0.44,0.12,0.37
Mohamed Amoura,ALG,AT,Wolfsburg,24.0,2000,24.0,23.0,1976.0,22.0,10.0,8.0,18.0,8.0,2.0,2.0,5.0,0.0,7.0,5.5,3.4,8.9,68.0,52.0,198.0,0.46,0.36,0.82,0.36,0.73,0.32,0.15,0.48,0.25,0.4
Robert Andrich,GER,"MT,DF",Leverkusen,30.0,1994,19.0,16.0,1314.0,14.6,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,1.3,1.3,0.3,1.5,7.0,54.0,14.0,0.14,0.14,0.27,0.14,0.27,0.09,0.02,0.1,0.09,0.1
Waldemar Anton,GER,DF,Dortmund,28.0,1996,19.0,15.0,1319.0,14.7,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.8,1.6,28.0,97.0,22.0,0.0,0.14,0.14,0.0,0.14,0.05,0.06,0.11,0.05,0.11
Maximilian Arnold,GER,MT,Wolfsburg,30.0,1994,23.0,22.0,1971.0,21.9,2.0,4.0,6.0,2.0,0.0,0.0,7.0,0.0,0.8,0.8,2.4,3.2,8.0,111.0,13.0,0.09,0.18,0.27,0.09,0.27,0.04,0.11,0.15,0.04,0.15
Jann-Fiete Arp,GER,"AT,MT",Holstein Kiel,25.0,2000,21.0,3.0,692.0,7.7,2.0,0.0,2.0,1.0,1.0,2.0,6.0,1.0,3.6,2.1,1.0,3.1,12.0,21.0,62.0,0.26,0.0,0.26,0.13,0.13,0.47,0.13,0.61,0.27,0.4
Arthur,BRA,"DF,AT",Leverkusen,22.0,2003,14.0,6.0,514.0,5.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,9.0,15.0,43.0,0.0,0.18,0.18,0.0,0.18,0.0,0.06,0.06,0.0,0.06
Noah Atubolu,GER,GB,Freiburg,22.0,2002,24.0,24.0,2127.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ayman Azhil,MAR,MT,Dortmund,23.0,2001,1.0,0.0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Aznou,MAR,DF,Bayern Munich,18.0,2006,2.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aliou Badara Baldé,GUI,"MT,AT",Bochum,22.0,2002,5.0,0.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.35,0.18,0.35
Ridle Baku,GER,"AT,MT",Wolfsburg,26.0,1998,15.0,14.0,1170.0,13.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,1.3,2.7,16.0,44.0,78.0,0.15,0.08,0.23,0.15,0.23,0.11,0.1,0.21,0.11,0.21
Ridle Baku,GER,"DF,MT",RB Leipzig,26.0,1998,12.0,10.0,866.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.5,17.0,23.0,64.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.15,0.1,0.15
Samuel Bamba,GER,"AT,DF",Bochum,21.0,2004,4.0,0.0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.43,0.2,0.62,0.43,0.62
Noahkai Banks,USA,DF,Augsburg,18.0,2006,8.0,2.0,278.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Scott Banks,SCO,"AT,MT",St. Pauli,23.0,2001,11.0,0.0,101.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25
