joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Keyliane Abdallah,FRA,AT,Marseille,18.0,2006,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,37.0,1987,12.0,11.0,976.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.4,4.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Himad Abdelli,ALG,"MT,AT",Angers,25.0,1999,25.0,25.0,2222.0,24.7,6.0,1.0,7.0,3.0,3.0,4.0,3.0,0.0,5.6,2.5,2.9,5.4,86.0,167.0,94.0,0.24,0.04,0.28,0.12,0.16,0.23,0.12,0.35,0.1,0.22
Mohamed Abdelmoneim,EGY,DF,Nice,26.0,1999,9.0,7.0,609.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ali Abdi,TUN,"DF,MT",Nice,31.0,1993,19.0,12.0,1017.0,11.3,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,1.5,2.7,29.0,30.0,60.0,0.18,0.18,0.35,0.18,0.35,0.11,0.13,0.23,0.11,0.23
Matthis Abline,FRA,AT,Nantes,22.0,2003,27.0,26.0,2169.0,24.1,7.0,2.0,9.0,6.0,1.0,1.0,2.0,0.0,7.3,6.5,3.1,9.5,56.0,36.0,135.0,0.29,0.08,0.37,0.25,0.33,0.3,0.13,0.43,0.27,0.4
Abner,BRA,DF,Lyon,24.0,2000,15.0,10.0,904.0,10.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,1.1,1.3,24.0,52.0,51.0,0.1,0.1,0.2,0.1,0.2,0.02,0.11,0.13,0.02,0.13
Zakaria Aboukhlal,MAR,"MT,AT",Toulouse,25.0,2000,23.0,22.0,1827.0,20.3,7.0,2.0,9.0,6.0,1.0,2.0,4.0,0.0,10.1,8.5,1.5,10.0,29.0,22.0,152.0,0.34,0.1,0.44,0.3,0.39,0.5,0.07,0.57,0.42,0.49
Akor Adams,NGA,AT,Montpellier,25.0,2000,15.0,13.0,1075.0,11.9,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,4.3,4.3,1.0,5.3,11.0,6.0,45.0,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44
Martin Adeline,FRA,MT,Reims,21.0,2003,1.0,0.0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adryelson,BRA,DF,Lyon,27.0,1998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Agbadou,CIV,DF,Reims,27.0,1997,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.3,0.8,10.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
Jeremy Agbonifo,SWE,"AT,MT",Lens,19.0,2005,6.0,1.0,200.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,7.0,2.0,20.0,0.45,0.0,0.45,0.45,0.45,0.29,0.08,0.38,0.29,0.38
Ruben Aguilar,FRA,"DF,MT",Lens,31.0,1993,12.0,9.0,788.0,8.8,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,0.8,1.2,12.0,45.0,61.0,0.11,0.11,0.23,0.11,0.23,0.04,0.1,0.14,0.04,0.14
Naouirou Ahamada,FRA,"MT,AT",Rennes,23.0,2002,3.0,0.0,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Jean-Eudes Aholou,CIV,MT,Angers,31.0,1994,24.0,24.0,1821.0,20.2,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.8,1.8,0.8,2.6,15.0,67.0,16.0,0.1,0.0,0.1,0.1,0.1,0.09,0.04,0.13,0.09,0.13
Ayman Aiki,FRA,"AT,MT",Saint-Étienne,19.0,2005,5.0,1.0,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09
Ludovic Ajorque,FRA,AT,Brest,31.0,1994,24.0,22.0,1933.0,21.5,10.0,1.0,11.0,10.0,0.0,1.0,4.0,0.0,8.2,7.4,2.4,9.8,9.0,37.0,98.0,0.47,0.05,0.51,0.47,0.51,0.38,0.11,0.49,0.35,0.46
Ümit Akdag,ROU,DF,Toulouse,21.0,2003,6.0,6.0,434.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.1,3.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Sergio Akieme,ESP,DF,Reims,27.0,1997,23.0,22.0,1938.0,21.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.4,2.4,44.0,71.0,74.0,0.05,0.05,0.09,0.05,0.09,0.05,0.07,0.11,0.05,0.11
Maghnes Akliouche,FRA,"AT,MT",Monaco,23.0,2002,25.0,21.0,1877.0,20.9,4.0,8.0,12.0,3.0,1.0,1.0,2.0,0.0,7.0,6.2,6.1,12.3,99.0,149.0,182.0,0.19,0.38,0.58,0.14,0.53,0.33,0.29,0.63,0.3,0.59
Clément Akpa,CIV,DF,Auxerre,23.0,2001,24.0,22.0,1928.0,21.4,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,0.9,1.0,25.0,64.0,23.0,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05
Chuba Akpom,ENG,"AT,MT",Lille,29.0,1995,7.0,3.0,320.0,3.6,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.6,1.8,0.3,2.1,1.0,2.0,20.0,0.56,0.0,0.56,0.56,0.56,0.74,0.09,0.83,0.52,0.6
