joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Max Aarons,ENG,MT,Valencia,25.0,2000,1.0,0.0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Abajas,ESP,DF,Valencia,21.0,2003,1.0,1.0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
Abel,ESP,DF,Osasuna,24.0,2000,27.0,15.0,1598.0,17.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.5,0.5,0.8,1.3,39.0,58.0,65.0,0.11,0.0,0.11,0.11,0.11,0.03,0.05,0.07,0.03,0.07
Nabil Aberdin,FRA,MT,Getafe,22.0,2002,7.0,4.0,263.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
Abdel Abqar,MAR,DF,Alavés,26.0,1999,27.0,27.0,2298.0,25.5,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.8,0.8,0.2,1.0,16.0,78.0,4.0,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04
Akor Adams,NGA,AT,Sevilla,25.0,2000,3.0,0.0,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián,ESP,GB,Betis,38.0,1987,10.0,10.0,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julen Agirrezabala,ESP,GB,Athletic Club,24.0,2000,14.0,14.0,1206.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,FRA,MT,Sevilla,23.0,2002,26.0,15.0,1336.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.4,0.4,0.6,1.0,16.0,65.0,14.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.07,0.02,0.07
Álvaro Aguado,ESP,MT,Espanyol,28.0,1996,13.0,4.0,408.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.0,0.5,10.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.11,0.1,0.11
