joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
James Abankwah,IRL,"DF,MT",Udinese,21.0,2004,6.0,0.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
Saud Abdulhamid,KSA,DF,Roma,25.0,1999,4.0,2.0,205.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,6.0,9.0,26.0,0.0,0.44,0.44,0.0,0.44,0.01,0.08,0.09,0.01,0.09
Oliver Abildgaard,DEN,MT,Como,28.0,1996,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy Abraham,ENG,AT,Roma,27.0,1997,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy Abraham,ENG,AT,Milan,27.0,1997,24.0,10.0,1032.0,11.5,2.0,3.0,5.0,1.0,1.0,2.0,1.0,0.0,6.4,4.7,2.0,6.7,5.0,22.0,58.0,0.17,0.26,0.44,0.09,0.35,0.56,0.17,0.73,0.41,0.58
Federico Accornero,ITA,MT,Genoa,21.0,2004,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francesco Acerbi,ITA,DF,Inter,37.0,1988,16.0,16.0,1300.0,14.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,9.0,46.0,15.0,0.0,0.07,0.07,0.0,0.07,0.02,0.03,0.06,0.02,0.06
Che Adams,SCO,AT,Torino,28.0,1996,27.0,22.0,1913.0,21.3,8.0,3.0,11.0,8.0,0.0,0.0,2.0,0.0,5.2,5.2,1.8,7.1,18.0,28.0,115.0,0.38,0.14,0.52,0.38,0.52,0.25,0.09,0.33,0.25,0.33
Yacine Adli,FRA,MT,Fiorentina,24.0,2000,21.0,14.0,1122.0,12.5,3.0,4.0,7.0,3.0,0.0,0.0,3.0,1.0,0.5,0.5,2.2,2.6,22.0,96.0,23.0,0.24,0.32,0.56,0.24,0.56,0.04,0.17,0.21,0.04,0.21
Vasilije Adžić,MNE,"MT,AT",Juventus,18.0,2006,3.0,0.0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09
Michel Aebischer,SUI,MT,Bologna,28.0,1997,9.0,5.0,427.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,6.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.06,0.12
Honest Ahanor,ITA,DF,Genoa,17.0,2008,2.0,1.0,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09
Junior Ajayi,CIV,AT,Hellas Verona,20.0,2004,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Daniel Akpa-Akpro,CIV,"MT,DF",Monza,32.0,1992,6.0,4.0,337.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,2.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
David Akpan Ankeye,NGA,"AT,MT",Genoa,23.0,2002,4.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faride Alidou,GER,"AT,MT",Hellas Verona,23.0,2001,3.0,0.0,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
Dele Alli,ENG,MT,Como,28.0,1996,1.0,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pontus Almqvist,SWE,"AT,MT",Parma,25.0,1999,26.0,8.0,994.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.9,1.9,1.3,3.2,40.0,12.0,80.0,0.09,0.09,0.18,0.09,0.18,0.17,0.12,0.29,0.17,0.29
Giorgio Altare,ITA,DF,Venezia,26.0,1998,12.0,8.0,753.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,4.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
Sofyan Amrabat,MAR,MT,Fiorentina,28.0,1996,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
Angeliño,ESP,DF,Roma,28.0,1997,30.0,28.0,2457.0,27.3,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.1,1.1,2.6,3.7,48.0,144.0,125.0,0.07,0.04,0.11,0.07,0.11,0.04,0.1,0.14,0.04,0.14
Lorenzo Anghelè,ITA,AT,Juventus,20.0,2005,1.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faustino Anjorin,ENG,MT,Empoli,23.0,2001,17.0,13.0,983.0,10.9,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,1.6,2.4,27.0,50.0,30.0,0.0,0.27,0.27,0.0,0.27,0.07,0.15,0.22,0.07,0.22
Marko Arnautović,AUT,AT,Inter,35.0,1989,11.0,2.0,293.0,3.3,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.3,2.3,0.5,2.7,2.0,10.0,40.0,0.92,0.31,1.23,0.92,1.23,0.7,0.14,0.84,0.7,0.84
Kristjan Asllani,ALB,MT,Inter,23.0,2002,17.0,6.0,631.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,1.6,2.4,7.0,45.0,17.0,0.0,0.29,0.29,0.0,0.29,0.11,0.23,0.35,0.11,0.35
