rang,joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
1.0,Max Aarons,ENG,DF,Bournemouth,25.0,2000,3.0,1.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,Joshua Acheampong,ENG,DF,Chelsea,18.0,2006,4.0,2.0,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12
3.0,Tyler Adams,USA,MT,Bournemouth,26.0,1999,19.0,13.0,1245.0,13.8,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.8,1.9,8.0,46.0,6.0,0.0,0.22,0.22,0.0,0.22,0.08,0.06,0.14,0.08,0.14
4.0,Tosin Adarabioyo,ENG,DF,Chelsea,27.0,1997,16.0,11.0,1091.0,12.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.2,1.1,5.0,30.0,1.0,0.08,0.08,0.16,0.08,0.16,0.07,0.02,0.09,0.07,0.09
5.0,Simon Adingra,CIV,"AT,MT",Brighton,23.0,2002,20.0,6.0,625.0,6.9,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,1.1,2.6,23.0,10.0,81.0,0.29,0.14,0.43,0.29,0.43,0.22,0.16,0.37,0.22,0.37
6.0,Emmanuel Agbadou,CIV,DF,Wolves,27.0,1997,7.0,7.0,600.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Asher Agbinone,ENG,MT,Crystal Palace,19.0,2005,2.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79
8.0,Ola Aina,NGA,DF,Nott'ham Forest,28.0,1996,29.0,29.0,2531.0,28.1,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.6,0.6,0.7,1.3,54.0,91.0,52.0,0.07,0.04,0.11,0.07,0.11,0.02,0.03,0.05,0.02,0.05
9.0,Rayan Aït-Nouri,ALG,DF,Wolves,23.0,2001,28.0,28.0,2381.0,26.5,3.0,5.0,8.0,3.0,0.0,0.0,6.0,1.0,1.9,1.9,2.6,4.5,63.0,91.0,138.0,0.11,0.19,0.3,0.11,0.3,0.07,0.1,0.17,0.07,0.17
10.0,Kristoffer Ajer,NOR,DF,Brentford,26.0,1998,16.0,15.0,1205.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.2,1.9,25.0,48.0,38.0,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.14,0.05,0.14
11.0,Manuel Akanji,SUI,DF,Manchester City,29.0,1995,20.0,20.0,1707.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.4,1.1,38.0,135.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
12.0,Nathan Aké,NED,DF,Manchester City,30.0,1995,10.0,8.0,678.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,12.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
13.0,Carlos Alcaraz,ARG,"MT,AT",Everton,22.0,2002,6.0,3.0,317.0,3.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,1.1,2.0,8.0,17.0,8.0,0.28,0.28,0.57,0.28,0.57,0.25,0.32,0.57,0.25,0.57
14.0,Carlos Alcaraz,ARG,MT,Southampton,22.0,2002,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,0.86,1.48,0.62,1.48
15.0,Trent Alexander-Arnold,ENG,DF,Liverpool,26.0,1998,28.0,26.0,2145.0,23.8,2.0,6.0,8.0,2.0,0.0,0.0,4.0,0.0,1.6,1.6,6.7,8.3,48.0,204.0,87.0,0.08,0.25,0.34,0.08,0.34,0.07,0.28,0.35,0.07,0.35
16.0,Alisson,BRA,GB,Liverpool,32.0,1992,21.0,21.0,1878.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
17.0,Miguel Almirón,PAR,AT,Newcastle Utd,31.0,1994,9.0,1.0,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.8,3.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3,0.15,0.45,0.3,0.45
18.0,Edson Álvarez,MEX,MT,West Ham,27.0,1997,23.0,18.0,1535.0,17.1,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.3,0.3,0.8,1.1,20.0,68.0,18.0,0.0,0.06,0.06,0.0,0.06,0.02,0.05,0.07,0.02,0.07
19.0,Will Alves,ENG,AT,Leicester City,20.0,2005,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,Harry Amass,ENG,DF,Manchester Utd,18.0,2007,1.0,0.0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
